P01,P01,P02,P02,P02,P02,P02,P03,P03,P03,P03,P04
TA01,TA02,TA03,TA04,TA05,TA06,TA07,TA08,TA09,TA10,TA11,TA12
C00006,C00009,C00034,C00047,C00065,C00014,C00090,C00100,C00109,,C00131,C00140
C00006,C00011,C00036,C00052,C00066,C00032,C00097,C00112,C00122,,C00138,C00148
C00008,C00028,C00040,C00053,C00130,C00071,C00098,C00113,C00123,,C00139,C00149
C00010,C00029,C00042,C00056,C00178,C00072,C00099,C00114,C00124,,C00143,
C00012,C00030,C00044,C00059,C00216,C00074,C00101,C00115,C00125,,,
C00013,C00031,C00046,C00062,,C00075,C00103,C00116,C00126,,,
C00017,C00060,C00048,C00135,,C00076,C00105,C00117,C00128,,,
C00019,C00070,C00051,C00162,,C00078,C00195,C00118,C00129,,,
C00021,C00092,C00058,C00172,,C00080,,C00119,C00147,,,
C00022,C00144,C00067,C00203,,C00081,,C00120,C00182,,,
C00024,C00156,C00077,,,C00082,,C00121,C00200,,,
C00026,C00164,C00093,,,C00084,,C00136,C00211,,,
C00027,C00169,C00133,,,C00085,,C00154,,,,
C00073,C00207,C00155,,,C00086,,C00184,,,,
C00096,C00222,C00160,,,C00087,,C00188,,,,
C00111,,C00189,,,C00091,,,,,,
C00153,,C00197,,,C00094,,,,,,
C00159,,,,,C00106,,,,,,
C00161,,,,,C00107,,,,,,
C00170,,,,,C00142,,,,,,
C00174,,,,,C00165,,,,,,
C00176,,,,,C00202,,,,,,
C00190,,,,,C00219,,,,,,
C00205,,,,,,,,,,,
C00212,,,,,,,,,,,
C00220,,,,,,,,,,,
C00221,,,,,,,,,,,
C00223,,,,,,,,,,,
